Subject Code	Course Number	Class Number	Associated Class Number	Days	Start Time	End Time	Room	Instructor(s)	instructor_pittid	Ta(s)	Type	Session	Writing	Enrollment Cap	Current Enrollment	Current Waitlist	cross_list_id	Notes	Description	deleted	Academic Term Code	last_modified
CMPINF	0010	29308	1010	MW	05:00 pm	06:15 pm	TBA	A. Chandrasekhar	arjunc		LEC	AT								0	2214	2020-10-28 11:42:18
CMPINF	0010	29309	1010	Th	08:55 am	10:45 am	IS 406	TBD			LAB	AT								0	2214	2020-10-28 11:42:18
CMPINF	0010	29310	1010	Th	11:05 am	12:55 pm	IS 406	TBD			LAB	AT								0	2214	2020-10-28 11:42:18
CMPINF	0010	29312	1010	F	08:55 am	10:45 am	IS 406	TBD			LAB	AT								0	2214	2020-10-28 11:42:18
CMPINF	0010	29311	1010	F	11:05 am	12:55 pm	IS 406	TBD			LAB	AT								0	2214	2020-10-28 11:42:18
CMPINF	0401	32212	1000	MW	05:00 pm	06:15 pm	TBA-60	J. Barria-Pineda	jab464		LEC	AT		60				NEW COURSE	Enrollment Cap: 60 / NEW COURSE	0	2214	2020-10-28 11:42:18
CMPINF	0401	32218	1000	Tu	03:25 pm	05:15 pm	TBA-20	TBD			LAB			20				NEW SECTION	Enrollment Cap: 20 / NEW SECTION	0	2214	2020-10-28 11:42:18
CMPINF	0401	32216	1000	Tu	01:15 pm	03:05 pm	TBA-20	TBD			LAB	AT		20				NEW SECTION	Enrollment Cap: 20 / NEW SECTION	0	2214	2020-10-28 11:42:18
CMPINF	0401	32215	1000	Tu	11:05 am	12:55 pm	TBA-20	TBD			LAB	AT		20				NEW SECTION	Enrollment Cap: 20 / NEW SECTION	0	2214	2020-10-28 11:42:18
CMPINF	0401	31347	1140	TuTh	01:15 pm	02:30 pm	TBA-60	T. Hoffman	hoffmant		LEC	AT		60					Enrollment Cap: 60	0	2214	2020-10-28 11:42:18
CMPINF	0401	31348	1140	W	08:55 am	10:45 am	SENSQ 6110	TBD			LAB	AT								0	2214	2020-10-28 11:42:18
CMPINF	0401	31349	1140	W	01:15 pm	03:05 pm	TBA	TBD			LAB	AT								0	2214	2020-10-28 11:42:18
CMPINF	0401	31350	1140	W	05:30 pm	07:20 pm	TBA	TBD			LAB	AT								0	2214	2020-11-17 09:28:46
CMPINF	0401	31351	1300	TuTh	06:30 pm	07:45 pm	TBA-60	T. Edmonds	toe6		LEC	AT		60					Enrollment Cap: 60	0	2214	2020-10-28 11:42:18
CMPINF	0401	31352	1300	W	11:05 am	12:55 pm	SENSQ 5505	TBD			LAB	AT								0	2214	2020-10-28 11:42:18
CMPINF	0401	31353	1300	W	03:25 pm	05:15 pm	SENSQ 5505	TBD			LAB	AT								0	2214	2020-10-28 11:42:18
CMPINF	0401	31354	1300	W	05:30 pm	07:20 pm	TBA	TBD			LAB	AT								0	2214	2020-10-28 11:42:18
CMPINF	0401	31355	1400	MW	03:25 pm	04:40 pm	TBA-60	M. Devine	mjd73		LEC	AT		60					Enrollment Cap: 60	0	2214	2020-10-28 11:42:18
CMPINF	0401	31356	1400	W	11:05 am	12:55 pm	TBA	TBD			LAB	AT								0	2214	2020-11-12 14:48:42
CMPINF	0401	31357	1400	W	01:15 pm	03:05 pm	TBA	TBD			LAB	AT								0	2214	2020-11-12 14:48:55
CMPINF	0401	31358	1400	M	05:00 pm	06:50 pm	TBA	TBD			LAB	AT								0	2214	2020-11-12 14:47:55
CMPINF	0401	31359	1600	TuTh	02:50 pm	04:05 pm	TBA-60	T. Hoffman	hoffmant		LEC	AT		60					Enrollment Cap: 60	0	2214	2020-10-28 11:42:18
CMPINF	0401	31360	1600	W	08:55 am	10:45 am	TBA	TBD			LAB	AT								0	2214	2020-10-28 11:42:18
CMPINF	0401	31361	1600	W	11:05 am	12:55 pm	TBA	TBD			LAB	AT								0	2214	2020-10-28 11:42:18
CMPINF	0401	31362	1600	W	05:30 pm	07:20 pm	TBA	TBD			LAB	AT								0	2214	2020-10-28 11:42:18
CMPINF	0401	31363	1700	TuTh	11:05 am	12:20 pm	TBA-60	M. Devine	mjd73		LEC	AT		60					Enrollment Cap: 60	0	2214	2020-10-28 11:42:18
CMPINF	0401	31364	1700	Th	01:15 pm	03:05 pm	TBA	TBD			LAB	AT								0	2214	2020-11-12 14:50:44
CMPINF	0401	31365	1700	Th	03:25 pm	05:15 pm	SENSQ 5505	TBD			LAB	AT								0	2214	2020-11-12 14:50:57
CMPINF	0401	31366	1700	Th	05:30 pm	07:20 pm	SENSQ 5505	TBD			LAB	AT								0	2214	2020-11-12 14:51:06
CMPINF	1999	30020	1010	MW	05:00 pm	06:15 pm	TBA	S. Shi	sos59		LEC	AT								0	2214	2020-10-28 11:42:18
CMPINF	2110	31498	1000	Tu	06:30 pm	09:00 pm	TBA	J. Yurko	jyurko		LEC	SE3								0	2214	2020-10-28 11:42:18
