Subject Code,Course Number,Class Number,Associated Class Number,Days,Start Time,End Time,Room,Instructor(s),instructor_pittid,Ta(s),Type,Session,Writing,Enrollment Cap,Current Enrollment,Current Waitlist,cross_list_id,Notes,Description,deleted,Academic Term Code,last_modified
CS,0007,25975,1010,MW,5:00 PM,6:15 PM,TBA-50,M. Devine,mjd73,,LEC,AT,,50,,,,,Enrollment Cap: 50,0,2214,10/28/2020 11:42
CS,0007,25977,1010,M,10:00 AM,10:50 AM,TBA,TBD,,,REC,AT,,25,,,,,Enrollment Cap: 25,0,2214,10/28/2020 11:42
CS,0007,25976,1010,M,12:10 PM,1:00 PM,TBA,TBD,,,REC,AT,,25,,,,,Enrollment Cap: 25,0,2214,10/28/2020 11:42
CS,0007,25978,1030,Tu,6:30 PM,9:00 PM,TBA-50,P. Ferreira,brasko,,LEC,AT,,50,,,,,Enrollment Cap: 50,0,2214,10/28/2020 11:42
CS,0007,25979,1030,M,3:25 PM,4:15 PM,TBA,TBD,,,REC,AT,,25,,,,,Enrollment Cap: 25,0,2214,10/28/2020 11:42
CS,0007,25980,1030,M,2:20 PM,3:10 PM,TBA,TBD,,,REC,AT,,25,,,,,Enrollment Cap: 25,0,2214,10/28/2020 11:42
CS,0007,32144,1095,TuTh,4:30 PM,5:45 PM,TBA-50,D. Bonidie,bonidie,,LEC,AT,,50,,,,,Enrollment Cap: 50,0,2214,10/28/2020 11:42
CS,0007,32145,1095,Tu,11:05 AM,11:55 AM,TBA,TBD,,,REC,AT,,25,,,,NEW COURSE,Enrollment Cap: 25 / NEW COURSE,0,2214,10/28/2020 11:42
CS,0007,32146,1095,Tu,12:10 PM,1:00 PM,TBA,TBD,,,REC,AT,,25,,,,NEW COURSE,Enrollment Cap: 25 / NEW COURSE,0,2214,10/28/2020 11:42
CS,0007,25981,1120,TuTh,9:25 AM,10:40 AM,TBA-50,M. Devine,mjd73,,LEC,AT,,50,,,,,Enrollment Cap: 50,0,2214,10/28/2020 11:42
CS,0007,25982,1120,M,1:15 PM,2:05 PM,TBA,TBD,,,REC,AT,,25,,,,,Enrollment Cap: 25,0,2214,10/28/2020 11:42
CS,0007,25983,1120,M,11:05 AM,11:55 AM,TBA,TBD,,,REC,AT,,25,,,,,Enrollment Cap: 25,0,2214,10/28/2020 11:42
CS,0007,25984,1200,TuTh,1:15 PM,2:30 PM,TBA-50,A. Chandrasekhar,arjunc,,LEC,AT,,50,,,,,Enrollment Cap: 50,0,2214,10/28/2020 11:42
CS,0007,25985,1200,M,4:30 PM,5:20 PM,TBA,TBD,,,REC,AT,,25,,,,,Enrollment Cap: 25,0,2214,10/28/2020 11:42
CS,0007,31503,1200,M,5:30 PM,6:20 PM,TBA,TBD,,,REC,AT,,25,,,,,Enrollment Cap: 25,0,2214,10/28/2020 11:42
CS,0007,29245,1240,W,6:30 PM,9:00 PM,TBA-50,S. Ellis,ste30,,LEC,AT,,50,,,,,Enrollment Cap: 50,0,2214,10/28/2020 11:42
CS,0007,29243,1240,W,10:00 AM,10:50 AM,TBA,TBD,,,REC,AT,,25,,,,,Enrollment Cap: 25,0,2214,10/28/2020 11:42
CS,0007,29244,1240,W,11:05 AM,11:55 AM,TBA,TBD,,,REC,AT,,25,,,,,Enrollment Cap: 25,0,2214,10/28/2020 11:42
CS,0010,29296,1010,TuTh,4:30 PM,5:45 PM,TBA-60,P. Ferreira,brasko,,LEC,AT,,20,,,,cross-list LEC with CS 11,Enrollment Cap: 20 / cross-list LEC with CS 11,0,2214,10/29/2020 21:14
CS,0010,29303,1010,F,8:55 AM,10:45 AM,TBA,TBD,,,LAB,AT,,,,,,,,0,2214,11/17/2020 13:30
CS,0011,29297,1010,TuTh,4:30 PM,5:45 PM,TBA-60,P. Ferreira,brasko,,LEC,AT,,40,,,,cross-list LEC with CS 10,Enrollment Cap: 40 / cross-list LEC with CS 10,0,2214,10/29/2020 21:16
CS,0011,30031,1010,F,8:55 AM,10:45 AM,TBA-20,TBD,,,LAB,AT,,20,,,,,Enrollment Cap: 20,0,2214,10/28/2020 11:42
CS,0011,29304,1010,F,11:05 AM,12:55 PM,TBA-20,TBD,,,LAB,AT,,20,,,,,Enrollment Cap: 20,0,2214,10/28/2020 11:42
CS,0011,30024,1025,MW,1:15 PM,2:30 PM,TBA-60,M. de Lima Barbosa,mad371,,LEC,AT,,40,,,,cross-list LEC with CS 12,Enrollment Cap: 40 / cross-list LEC with CS 12,0,2214,10/28/2020 11:42
CS,0011,30022,1025,Th,1:15 PM,3:05 PM,TBA-20,TBD,,,LAB,AT,,20,,,,,Enrollment Cap: 20,0,2214,10/28/2020 11:42
CS,0011,30023,1025,Th,11:05 AM,12:55 PM,TBA-20,TBD,,,LAB,AT,,20,,,,,Enrollment Cap: 20,0,2214,10/28/2020 11:42
CS,0011,32192,1200,MW,5:00 PM,6:15 PM,TBA-60,M. de Lima Barbosa,mad371,,LEC,AT,,40,,,,NEW COURSE - cross-list with CS 12,Enrollment Cap: 40 / NEW COURSE - cross-list with CS 12,0,2214,10/28/2020 11:42
CS,0011,32193,1200,F,1:15 PM,3:05 PM,TBA-20,TBD,,,LAB,AT,,20,,,,NEW SECTION,Enrollment Cap: 20 / NEW SECTION,0,2214,10/28/2020 11:42
CS,0011,32198,1200,F,3:25 PM,5:15 PM,TBA-20,TBD,,,LAB,AT,,20,,,,NEW SECTION,Enrollment Cap: 20 / NEW SECTION,0,2214,10/28/2020 11:42
CS,0012,29300,1010,MW,5:00 PM,6:15 PM,TBA-60,M. de Lima Barbosa,mad371,,LEC,AT,,20,,,,NEW SECTION - cross-list with CS 11,Enrollment Cap: 20 / NEW SECTION - cross-list with CS 11,0,2214,11/17/2020 13:28
CS,0012,32196,1010,Th,1:15 PM,3:05 PM,TBA-20,TBD,,,LAB,AT,,20,,,,NEW SECTION,Enrollment Cap: 20 / NEW SECTION,0,2214,11/17/2020 13:28
CS,0012,30028,1025,MW,1:15 PM,2:30 PM,TBA-60,M. de Lima Barbosa,mad371,,LEC,AT,,20,,,,cross-list LEC with CS 11,Enrollment Cap: 20 / cross-list LEC with CS 11,0,2214,10/28/2020 11:42
CS,0012,30029,1025,F,11:05 AM,12:55 PM,TBA-20,TBD,,,LAB,AT,,20,,,,,Enrollment Cap: 20,0,2214,10/28/2020 11:42
CS,0134,25523,1210,M,6:30 PM,9:00 PM,TBA-50,O. Sherbinin,ols9,,LEC,AT,,50,,,,,Enrollment Cap: 50,0,2214,10/28/2020 11:42
CS,0334,25525,1020,MW,1:15 PM,2:30 PM,TBA-30,P. DeNardis,pld7,,LEC,AT,,30,,,,,Enrollment Cap: 30,0,2214,10/28/2020 11:42
CS,0441,25536,1160,MW,5:00 PM,6:15 PM,TBA-72,D. Bonidie,bonidie,,LEC,AT,,72,,,,,Enrollment Cap: 72,0,2214,10/28/2020 11:42
CS,0441,31369,1160,M,11:05 AM,11:55 AM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0441,25541,1160,M,12:10 PM,1:00 PM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0441,25540,1160,F,12:10 PM,1:00 PM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0441,25546,1200,TuTh,4:30 PM,5:45 PM,TBA-72,W. Garrison,wcg6,,LEC,AT,,72,,,,,Enrollment Cap: 72,0,2214,10/28/2020 11:42
CS,0441,25552,1200,Th,6:30 PM,7:20 PM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0441,31370,1200,F,2:20 PM,3:10 PM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0441,25548,1200,F,3:25 PM,4:15 PM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0441,29250,1240,MW,3:25 PM,4:40 PM,TBA-144,W. Garrison,wcg6,,LEC,AT,,144,,,,,Enrollment Cap: 144,0,2214,10/28/2020 11:42
CS,0441,31373,1240,F,8:55 AM,9:45 AM,TBA-24,TBD,,,REC,AT,,,,,,LINK WITH 29250 lecture,LINK WITH 29250 lecture,0,2214,11/17/2020 13:43
CS,0441,27053,1240,F,10:00 AM,10:50 AM,TBA-24,TBD,,,REC,AT,,,,,,LINK WITH 29250 lecture,LINK WITH 29250 lecture,0,2214,11/17/2020 13:43
CS,0441,27052,1240,F,2:20 PM,3:10 PM,TBA-24,TBD,,,REC,AT,,,,,,LINK WITH 29250 lecture,LINK WITH 29250 lecture,0,2214,11/17/2020 13:43
CS,0441,31374,1240,Th,10:00 AM,10:50 AM,TBA-24,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0441,29251,1240,Th,11:05 AM,11:55 AM,TBA-24,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0441,29252,1240,Th,12:10 PM,1:00 PM,TBA-24,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0445,25809,1060,MW,5:00 PM,6:15 PM,TBA-72,T. Hoffman,hoffmant,,LEC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0445,25811,1060,Th,11:05 AM,11:55 AM,TBA,TBD,,,REC,SE3,,,,,,,,0,2214,10/28/2020 11:42
CS,0445,31389,1060,Th,12:10 PM,1:00 PM,TBA,TBD,,,REC,SE3,,,,,,,,0,2214,10/28/2020 11:42
CS,0445,25810,1060,Th,6:30 PM,7:20 PM,TBA,TBD,,,REC,SE3,,,,,,,,0,2214,10/28/2020 11:42
CS,0445,25573,1200,TuTh,1:15 PM,2:30 PM,TBA-72,J. Ramirez,nomad,,LEC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0445,25579,1200,M,10:00 AM,10:50 AM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,0445,31390,1200,M,12:10 PM,1:00 PM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
