category,question id,question,answer,
about pitt cs,1,How late is the department open?,,"The CS department is open:
Monday: 9AM to 5PM
Tuesday: 9AM to 5PM
Wednesday: 9AM to 5PM
Thursday: 9AM to 5PM
Friday: 9AM to 5PM
Saturday: Closed
Sunday: Closed"
about pitt cs,2,Where is the CS department located?,,"Information Science Building, Fifth Floor
135 North Bellefield Avenue
Pittsburgh, PA 15260"
about pitt cs,3,Tell me something about the CS department,,I am glad you are interested in the CS department! Here is a web page about us: https://www.cs.pitt.edu. You can also check out this web page to know more about Pitt CS department history: https://www.cs.pitt.edu/about/history
campus life,4,What are upcoming events?,,Click the link https://calendar.pitt.edu/department/department_of_computer_science to find out more about our events or contact a faculty
campus life,5,Tell me any news about the department?,,"Here is a list of latest news, click https://www.cs.pitt.edu/news to find out more!"
campus life,6,What student clubs do you have?,,"In the CS department, there are multiple student clubs. Here is the list of students clubs we have: https://www.cs.pitt.edu/community/student-clubs"
undergraduate admissions,7,How and when will I be notified if I am admitted?,,You will be notified by SCI via your Pitt email address. Applicants who have completed all admissions requirements by the submission deadline should receive a decision within one to two weeks after the published review period. Those who are completing the admissions requirements during the term they applied should receive a decision within one to two weeks after grades are posted for the term.
undergraduate admissions,8,How much is the application fee?,,The application fee is $50 for one program.
undergraduate admissions,9,What if I cannot afford to pay the application fee?,,We expect all applicants to submit the application fee.
undergraduate admissions,10,Can I pay the application fee by credit card?,,You must pay the fee by credit card. Instructions will be given when you submit your online application.
undergraduate admissions,11,Are there additional financial aid forms to complete?,,All inquiries regarding financial aid should be directed to the Office of Financial Aid.
undergraduate admissions,12,"If I applied last year and was not admitted, can I reapply this year?",,"Yes, as long as it is before the application deadline. However, all application materials must be re-uploaded ApplyYourself."
undergraduate admissions,13,Is it possible to visit the campus and the School of Computing and Information?,,Please contact sciadmit@pitt.edu to schedule a campus visit.
undergraduate admissions,14,How do I track the status of my application?,,"You may track the status of your completed application through the University's PSMobile site. Once you complete your application, you will receive instructions from the University to set up a Pitt account that you may use to access the PSMobile site. In addition to tracking the status of your application, you can also use the PSMobile site to view your admissions decision and, if admitted, accept your offer."
undergraduate admissions,15,How will I be notified if I am admitted?,,"You will be notified by SCI via your Pitt email address. Using your Pitt account, you can log into the University's PSMobile site to check the status of your admission decision."
undergraduate admissions,16,What if my application is not complete by the deadline?,,It is your responsibility to make certain that your application is complete and that the required materials reach us by the above stated deadlines. You may use your user ApplyYourself ID and password to check your submitted application to make certain that it is complete.
undergraduate admissions,17,"If I am admitted to a program, can I defer admission?",,"Students may defer for up to one year. If you wish to defer, you should contact scireg@pitt.edu."
undergraduate admissions,18,Do I need to provide letters of recommendation?,,"No, you are not required to provide letters of recommendation but are able to do so if you'd like."
undergraduate admissions,19,Can I make changes to my online application after it has been submitted?,,"Please email any changes to scireg@pitt.edu. We cannot guarantee that your changes will be considered during the review of your application, but the sooner you provide us with updates, the more likely it is that they will be considered."
undergraduate admissions,20,"If I applied last year and was not admitted, can I reapply this year?",,"Yes, as long as it is before the application deadline. "
